src,ctg,fund,tkr,date,cmltvUnitCnt,val
External,AI,AIQ,AIQ,2025-05-09,5.51074,211.11645696784973
External,AI,IETC,IETC,2025-05-09,12.214178601,999.9748356111135
External,AI,LRNZ,LRNZ,2025-05-09,1.722344052,65.39895632910114
External,China,CQQQ,CQQQ,2025-05-09,116.804244,5045.943429914566
External,China,MCH,MCH,2025-05-09,1,23.3700008392334
External,China,MCHI,MCHI,2025-05-09,90.311995,4827.176201652584
External,General Growth,IWY,IWY,2025-05-09,8.103432629,1768.9793676404138
External,General Tech,TECL,TECL,2025-05-09,112.15475,6861.627639226914
External,General Tech,XLK,XLK,2025-05-09,1.71834,374.37472740966797
External,Inflation,BAR,BAR,2025-05-09,9.97231,324.99758442165376
External,Inflation,STIP,STIP,2025-05-09,14.766513,1514.7489305782929
External,Inflation,TIP,TIP,2025-05-09,9.105087,992.2724118251723
External,Market Indexes,QQQ,QQQ,2025-05-09,4.37856,2138.0070998144533
External,Market Indexes,STXNDQ.JO,STXNDQ.JO,2025-05-09,38.0633,432.4018816603583
External,Market Indexes,SYG500.JO,SYG500.JO,2025-05-09,41.5053,237.0713447741286
External,Market Indexes,TQQQ,TQQQ,2025-05-09,45.179097,2670.5364512451324
External,Market Indexes,UPRO,UPRO,2025-05-09,22.65085,1611.8345689498901
External,Market Indexes,VOO,VOO,2025-05-09,5.46067,2835.9445044488525
External,Self-Driving,ARKQ,ARKQ,2025-05-09,0.88794,64.68642764511108
External,Self-Driving,DRIV,DRIV,2025-05-09,0.414483096,8.828489628574493
External,Semiconductor,SMH,SMH,2025-05-09,1.13796,252.5702185272217
External,Semiconductor,SOXQ,SOXQ,2025-05-09,11.214334478,391.15599857084146
Internal,Mega Cap,of:TNIF,AAPL,2025-05-09,0.583000412,115.13675456839691
Internal,Mega Cap,of:TNIF,AMZN,2025-05-09,1.772278561,340.41926924201897
Internal,Mega Cap,of:TNIF,AVGO,2025-05-09,2.424815757,503.80398019182064
Internal,Mega Cap,of:TNIF,GOOGL,2025-05-09,3.692722771,569.7132646021618
Internal,Mega Cap,of:TNIF,LLY,2025-05-09,0.736736708,553.620808219968
Internal,Mega Cap,of:TNIF,META,2025-05-09,0.952161432,569.4020672487715
Internal,Mega Cap,of:TNIF,MSFT,2025-05-09,0.696334182,305.11275787713043
Internal,Mega Cap,of:TNIF,NVDA,2025-05-09,1.459126181,171.25764387157975
Internal,Mega Cap,of:TNIF,NVO,2025-05-09,27.527962812,1785.188346353862
Internal,Mega Cap,of:TNIF,TSLA,2025-05-09,1.826999522,520.3660172373841
Internal,Mega Cap,of:TNIF,TSM,2025-05-09,3.847972187,674.2416913033717
Internal,Mega Cap,of:TNNIF,BRK-B,2025-05-09,1.245040568,639.017071526
Internal,Mega Cap,of:TNNIF,JPM,2025-05-09,60.35460209,15298.081065427352
Internal,Mega Cap,of:TNNIF,MC.PA,2025-05-09,3.654214,1999.436768807171
Internal,Mega Cap,of:TNNIF,V,2025-05-09,1.727210234,606.7171199214816
Internal,Mega Cap,of:TNNIF,XOM,2025-05-09,22.513189275,2387.9739795287696
Internal,Misc.,of:TNGIF,ADSK,2025-05-09,0.056251554,16.29157479481421
Internal,Misc.,of:TNGIF,BIDU,2025-05-09,1.585739203,138.99004356259599
Internal,Misc.,of:TNGIF,COIN,2025-05-09,0.067113656,13.858969963999998
Internal,Misc.,of:TNGIF,DASH,2025-05-09,0.111150038,20.336011698726594
Internal,Misc.,of:TNGIF,EA,2025-05-09,0.06482489,10.090642614795836
Internal,Misc.,of:TNGIF,FTNT,2025-05-09,0.203474553,19.88760237555146
Internal,Misc.,of:TNGIF,HOOD,2025-05-09,0.227177633,12.283494546980888
Internal,Misc.,of:TNGIF,JD,2025-05-09,0.383329261,13.079193975880175
Internal,Misc.,of:TNGIF,NET,2025-05-09,0.088986223,11.06187716387848
Internal,Misc.,of:TNGIF,NTES,2025-05-09,1.393733699,148.4186986291736
Internal,Misc.,of:TNGIF,PLTR,2025-05-09,0.619922366,73.86375085482645
Internal,Misc.,of:TNGIF,SNOW,2025-05-09,0.088233071,15.349907469576385
Internal,Misc.,of:TNGIF,TTWO,2025-05-09,0.045251841,10.20202741535234
Internal,Retirement,of:SRA,STXNDQ.JO,2025-05-09,112,1272.3282202531082
Internal,Retirement,of:SRA,SYG500.JO,2025-05-09,166,948.1642882356072
Internal,Retirement,of:SRA,SYGJP.JO,2025-05-09,166,192.10814977112648
Internal,Value,of:UCGF,GSL,2025-05-09,78.73875608,1728.3157560289035
Internal,Value,SVF,0939.HK,2025-05-09,2791.40081,2373.554648402914
Internal,Value,SVF,1898.HK,2025-05-09,9.842152,10.318658110994354
Internal,Value,SVF,3988.HK,2025-05-09,1e-6,5.775929527394717e-7
Internal,Value,SVF,AMTD,2025-05-09,2841,2841
Internal,Value,SVF,ATLC,2025-05-09,0.029486388,1.6447506866458739
Internal,Value,SVF,BCC,2025-05-09,0.101414,9.084666305694581
Internal,Value,SVF,BWLP,2025-05-09,52.341111384,543.3007421558848
Internal,Value,SVF,CIVI,2025-05-09,101.885402011,2788.603538546702
Internal,Value,SVF,EHLD,2025-05-09,27.2,153.82416381835938
Internal,Value,SVF,ESEA,2025-05-09,70,2466.099967956543
Internal,Value,SVF,GGB,2025-05-09,45.49517,118.28743766124249
Internal,Value,SVF,GSL,2025-05-09,92.71680054,2035.133842590305
Internal,Value,SVF,HLAG.F,2025-05-09,45.401894,6535.506966745532
Internal,Value,SVF,MTH,2025-05-09,33.791166,2338.0108580379638
Internal,Value,SVF,STLA,2025-05-09,111.975011509,1106.313126523443
Internal,Value,SVF,T,2025-05-09,39,1071.3299732208252
Internal,Value,SVF,TMHC,2025-05-09,34.595527,2046.3254748385848
Internal,Value,SVF,WAL,2025-05-09,0.342849,25.696531503707888
